1011201_S1,1011201_S1,S1,211209_UNC41-A00434_0404_BHLLJCDRXY:S1,ILLUMINA,1011201
1012505_S2,1012505_S2,S2,211209_UNC41-A00434_0404_BHLLJCDRXY:S2,ILLUMINA,1012505
1013003_S3,1013003_S3,S3,211209_UNC41-A00434_0404_BHLLJCDRXY:S3,ILLUMINA,1013003
1031006_S4,1031006_S4,S4,211209_UNC41-A00434_0404_BHLLJCDRXY:S4,ILLUMINA,1031006
113135_S5,113135_S5,S5,211209_UNC41-A00434_0404_BHLLJCDRXY:S5,ILLUMINA,113135
242012_S6,242012_S6,S6,211209_UNC41-A00434_0404_BHLLJCDRXY:S6,ILLUMINA,242012
3073204_S7,3073204_S7,S7,211209_UNC41-A00434_0404_BHLLJCDRXY:S7,ILLUMINA,3073204
353176_S8,353176_S8,S8,211209_UNC41-A00434_0404_BHLLJCDRXY:S8,ILLUMINA,353176
364184_S9,364184_S9,S9,211209_UNC41-A00434_0404_BHLLJCDRXY:S9,ILLUMINA,364184
366152_S10,366152_S10,S10,211209_UNC41-A00434_0404_BHLLJCDRXY:S10,ILLUMINA,366152
67-A1_S11,67-A1_S11,S11,211209_UNC41-A00434_0404_BHLLJCDRXY:S11,ILLUMINA,67-A1
DSG272_S12,DSG272_S12,S12,211209_UNC41-A00434_0404_BHLLJCDRXY:S12,ILLUMINA,DSG272
111038_S13,111038_S13,S13,210726_UNC41-A00434_0333_BHCV2GDRXY:S13,ILLUMINA,111038
Tan_LDB_123_S14,Tan_LDB_123_S14,S14,210726_UNC41-A00434_0333_BHCV2GDRXY:S14,ILLUMINA,Tan_LDB_123
Tan_LDB_426_S15,Tan_LDB_426_S15,S15,210726_UNC41-A00434_0333_BHCV2GDRXY:S15,ILLUMINA,Tan_LDB_426
Tan_LDB_475_S16,Tan_LDB_475_S16,S16,210726_UNC41-A00434_0333_BHCV2GDRXY:S16,ILLUMINA,Tan_LDB_475
Tan_LDB_1610_D0_S17,Tan_LDB_1610_D0_S17,S17,210726_UNC41-A00434_0333_BHCV2GDRXY:S17,ILLUMINA,Tan_LDB_1610_D0
1459G_S18,1459G_S18,S18,220928_UNC41-A00434_0543_BHNJ2NDSX3:S18,ILLUMINA,1459G
2090A_S19,2090A_S19,S19,220928_UNC41-A00434_0543_BHNJ2NDSX3:S19,ILLUMINA,2090A
2562DA_S20,2562DA_S20,S20,220928_UNC41-A00434_0543_BHNJ2NDSX3:S20,ILLUMINA,2562DA
2589DA_S21,2589DA_S21,S21,220928_UNC41-A00434_0543_BHNJ2NDSX3:S21,ILLUMINA,2589DA
2680A_S22,2680A_S22,S22,220928_UNC41-A00434_0543_BHNJ2NDSX3:S22,ILLUMINA,2680A
2714A_S23,2714A_S23,S23,220928_UNC41-A00434_0543_BHNJ2NDSX3:S23,ILLUMINA,2714A
2928A_S24,2928A_S24,S24,220928_UNC41-A00434_0543_BHNJ2NDSX3:S24,ILLUMINA,2928A
3116A_S25,3116A_S25,S25,220928_UNC41-A00434_0543_BHNJ2NDSX3:S25,ILLUMINA,3116A
4643DT_S26,4643DT_S26,S26,220928_UNC41-A00434_0543_BHNJ2NDSX3:S26,ILLUMINA,4643DT
KGMU_NSB_011_S27,KGMU_NSB_011_S27,S27,220928_UNC41-A00434_0543_BHNJ2NDSX3:S27,ILLUMINA,KGMU_NSB_011
SOMO_ISA_041_S28,SOMO_ISA_041_S28,S28,220928_UNC41-A00434_0543_BHNJ2NDSX3:S28,ILLUMINA,SOMO_ISA_041
SOTU_TUN_019_S29,SOTU_TUN_019_S29,S29,220928_UNC41-A00434_0543_BHNJ2NDSX3:S29,ILLUMINA,SOTO_TUN_019
1503082061_r1a_S30,1503082061_r1a_S30,S30,PRJEB51041:S30,ILLUMINA,1503082061_r1a
1507081819_r2a_S31,1507081819_r2a_S31,S31,PRJEB51041:S31,ILLUMINA,1507081819_r2a
1701100582_r3a_S32,1701100582_r3a_S32,S32,PRJEB51041:S32,ILLUMINA,1701100582_r3a
1802062292_r4a_S33,1802062292_r4a_S33,S33,PRJEB51041:S33,ILLUMINA,1802062292_r4a
